langtitel;kurztitel;veranstaltungsjahr;veranstaltungsmonat;startdatum;enddatum;stadt;land;messegelaende;turnus;branchenschwerpunkte;veranstaltername;messetyp;nettoflaeche;aussteller_gesamt;aussteller_inland;aussteller_ausland;besucher_gesamt;besucher_inland;besucher_ausland
bauma CONEXPO INDIA - International Trade Fair for Construction Machinery, Building Material Machines, Mining Machines and Construction Vehicles;bauma CONEXPO INDIA;2024;12;11.12.2024;14.12.2024;New Delhi;Indien;India Expo Centre and Mart, Greater Noida;zweijährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);bC Expo India Pvt. Ltd.;Fachbesucher;;984;883;101;51118;50496;622
bauma CONEXPO INDIA - International Trade Fair for Construction Machinery, Building Material Machines, Mining Machines and Construction Vehicles;bauma CONEXPO INDIA;2023;1;31.01.2023;03.02.2023;New Delhi;Indien;India Expo Centre and Mart, Greater Noida;zweijährlich;Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09);bC Expo India Pvt. Ltd.;Fachbesucher;42335;601;548;53;41108;40069;1039
bauma CONEXPO INDIA - International Trade Fair for Construction Machinery, Building Material Machines, Mining Machines and Construction Vehicles;bauma CONEXPO INDIA;2018;12;11.12.2018;14.12.2018;Gurgaon / Delhi;Indien;HUDA Ground;zweijährlich;"Bautechnik, Baustoffe, Baumaschinen, Innenausbau (Branche 09); Bergbau, Geodäsie, Geoinformation (Branche 12)";bC Expo India Pvt. Ltd.;Fachbesucher;;;;;;;
logitrans - International Transport Logistics Exhibition;logitrans;2025;11;19.11.2025;21.11.2025;Istanbul;Türkei;Yenikapi Eurasia Show and Art Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;;235;138;97;16510;15214;1296
logitrans - International Transport Logistics Exhibition;logitrans;2024;11;20.11.2024;22.11.2024;Istanbul;Türkei;Yenikapi Eurasia Show and Art Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;7280;203;117;86;14332;12911;1421
logitrans - International Transport Logistics Exhibition;logitrans;2023;11;15.11.2023;17.11.2023;Istanbul;Türkei;Yenikapi Eurasia Show and Art Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;7324;201;;;12000;;
logitrans - International Transport Logistics Exhibition;logitrans;2022;11;16.11.2022;18.11.2022;Istanbul;Türkei;Yenikapi Eurasia Show and Art Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;7077;171;84;87;16724;14660;2064
logitrans - International Transport Logistics Exhibition;logitrans;2021;11;10.11.2021;12.11.2021;Istanbul;Türkei;Istanbul Expo Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;;;;;;;
logitrans - International Transport Logistics Exhibition;logitrans;2019;11;13.11.2019;15.11.2019;Istanbul;Türkei;Istanbul Expo Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;;;;;;;
logitrans - International Transport Logistics Exhibition;logitrans;2018;11;14.11.2018;16.11.2018;Istanbul;Türkei;Istanbul Expo Center;jährlich;"Transport und Verkehr (Branche 83); Logistik, Antriebs-, Förder- und Lagertechnik (Branche 55)";EKO MMI Fuarcilik Ltd. Sti.;Fach- und Privatbesucher;;;;;;;
